Title,Property Size,Bedrooms,Bathrooms,Furnishing,Region,Region Name,Region Parent Name,Is Boost,Price
"7bdrm Duplex in Oko Oba, Agege for sale",530.0,7,7,Unfurnished,"Lagos State, Agege",Agege,Lagos State,False,330000000.0
4bdrm Duplex in An Estate At Meiran for sale,500.0,4,4,Unfurnished,"Agege, Meiran",Meiran,Lagos State,False,110000000.0
Mini Flat in Magodo Phase 1 for sale,530.0,1,1,Unfurnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,False,55000000.0
6bdrm Duplex in Ojodu for sale,450.0,6,6,Unfurnished,"Lagos State, Ojodu",Ojodu,Lagos State,False,330000000.0
4bdrm Duplex in Seagate Estate Ikate for sale,400.0,4,4,Unfurnished,"Lekki, Ikate",Ikate,Lagos State,VIP Gold,500000000.0
"4bdrm Duplex in Agip Estate, Port-Harcourt for sale",465.0,4,5,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,250000000.0
"3bdrm Block of Flats in Okunola, Egbeda for sale",638.0,3,3,Unfurnished,"Oyo State, Egbeda",Egbeda,Oyo State,False,150000000.0
"5bdrm Duplex in Osapa, Lekki for sale",630.0,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,840000000.0
"5bdrm House in Packland Estate, Okuru for sale",700.0,5,5,Unfurnished,"Port-Harcourt, Okuru",Okuru,Port-Harcourt,Diamond,500000000.0
"Furnished 2bdrm Bungalow in Emmiers Estate, Ibadan for sale",250.0,2,2,Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,Diamond,38000000.0
4bdrm Duplex in Thomas Estate for sale,600.0,4,4,Unfurnished,"Ajah, Thomas Estate",Thomas Estate,Lagos State,Enterprise,165000000.0
7bdrm Duplex in Port-Harcourt for sale,930.0,7,8,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,280000000.0
"5bdrm Duplex in Unity Estate, Port-Harcourt for sale",1860.0,5,6,Unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Diamond,400000000.0
"3bdrm Block of Flats in Oniwaya, Dopemu for sale",635.0,3,3,Unfurnished,"Alimosho, Dopemu",Dopemu,Lagos State,False,170000000.0
"4bdrm Duplex in Shonibare Estate, Maryland for sale",640.0,4,4,Unfurnished,"Lagos State, Maryland",Maryland,Lagos State,False,400000000.0
4bdrm Duplex in Ogudu Gra for sale,550.0,4,4,Unfurnished,"Ogudu, Ogudu GRA",Ogudu GRA,Lagos State,False,500000000.0
4bdrm Duplex in Ojodu Berger for sale,635.0,4,4,Unfurnished,"Ojodu, Berger",Berger,Lagos State,False,180000000.0
"4bdrm Duplex in Capacity Estate, Rukpokwu for sale",280.0,4,4,Unfurnished,"Port-Harcourt, Rukpokwu",Rukpokwu,Port-Harcourt,Diamond,210000000.0
"Furnished 1bdrm Bungalow in Sars Estate, Rukpokwu for sale",150.0,1,1,Furnished,"Port-Harcourt, Rukpokwu",Rukpokwu,Port-Harcourt,Diamond,30000000.0
"Furnished 4bdrm Bungalow in Elikpokwuodu, Rukpokwu for sale",465.0,4,4,Furnished,"Port-Harcourt, Rukpokwu",Rukpokwu,Port-Harcourt,Diamond,110000000.0
