title,property_size,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
4bdrm Duplex in Seagate Estate Ikate for sale,400.0,4,4,unfurnished,"Lekki, Ikate",Ikate,Lekki,vip_gold,"₦ 500,000,000"
"4bdrm Duplex in Agip Estate, Port-Harcourt for sale",465.0,4,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 250,000,000"
"3bdrm Block of Flats in Okunola, Egbeda for sale",638.0,3,3,unfurnished,"Oyo State, Egbeda",Egbeda,Oyo State,False,"₦ 150,000,000"
"5bdrm Duplex in Osapa, Lekki for sale",630.0,5,5,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,"₦ 840,000,000"
"5bdrm House in Packland Estate, Okuru for sale",700.0,5,5,unfurnished,"Port-Harcourt, Okuru",Okuru,Port-Harcourt,diamond,"₦ 500,000,000"
"Furnished 2bdrm Bungalow in Emmiers Estate, Ibadan for sale",250.0,2,2,furnished,"Oyo State, Ibadan",Ibadan,Oyo State,diamond,"₦ 38,000,000"
4bdrm Duplex in Thomas Estate for sale,600.0,4,4,unfurnished,"Ajah, Thomas Estate",Thomas Estate,Ajah,enterprise,"₦ 165,000,000"
7bdrm Duplex in Port-Harcourt for sale,930.0,7,8,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 280,000,000"
"5bdrm Duplex in Unity Estate, Port-Harcourt for sale",1860.0,5,6,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 400,000,000"
"3bdrm Block of Flats in Oniwaya, Dopemu for sale",635.0,3,3,unfurnished,"Alimosho, Dopemu",Dopemu,Alimosho,False,"₦ 170,000,000"
"4bdrm Duplex in Shonibare Estate, Maryland for sale",640.0,4,4,unfurnished,"Lagos State, Maryland",Maryland,Lagos State,False,"₦ 400,000,000"
4bdrm Duplex in Ogudu Gra for sale,550.0,4,4,unfurnished,"Ogudu, Ogudu GRA",Ogudu GRA,Ogudu,False,"₦ 500,000,000"
4bdrm Duplex in Ojodu Berger for sale,635.0,4,4,unfurnished,"Ojodu, Berger",Berger,Ojodu,False,"₦ 180,000,000"
"4bdrm Duplex in Capacity Estate, Rukpokwu for sale",280.0,4,4,unfurnished,"Port-Harcourt, Rukpokwu",Rukpokwu,Port-Harcourt,diamond,"₦ 210,000,000"
"Furnished 1bdrm Bungalow in Sars Estate, Rukpokwu for sale",150.0,1,1,furnished,"Port-Harcourt, Rukpokwu",Rukpokwu,Port-Harcourt,diamond,"₦ 30,000,000"
"Furnished 4bdrm Bungalow in Elikpokwuodu, Rukpokwu for sale",465.0,4,4,furnished,"Port-Harcourt, Rukpokwu",Rukpokwu,Port-Harcourt,diamond,"₦ 110,000,000"
"4bdrm Duplex in Gold Town, Port-Harcourt for sale",350.0,4,5,unfurnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,diamond,"₦ 130,000,000"
"4bdrm Duplex in Ada George New Road,, Obio-Akpor for sale",350.0,4,4,unfurnished,"Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,diamond,"₦ 200,000,000"
"3bdrm Bungalow in Emmiers Estate, Ibeju for sale",250.0,3,3,semi-furnished,"Lagos State, Ibeju",Ibeju,Lagos State,diamond,"₦ 88,000,000"
5bdrm Duplex in Ikota for sale,500.0,5,5,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 250,000,000"
2bdrm Bungalow in Lekki Phase 2 for sale,600.0,2,2,unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,enterprise,"₦ 75,000,000"
6bdrm Block of Flats in Orile Agege for sale,638.0,6,6,unfurnished,"Lagos State, Orile",Orile,Lagos State,False,"₦ 150,000,000"
5bdrm Duplex in Lekki for sale,640.0,5,5,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,"₦ 840,000,000"
"5bdrm Maisonette in Oniru, Victoria Island for sale",638.0,5,5,unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,False,"₦ 500,000,000"
